featured,date,start_time,event_name,venue,venue_address,venue_lat,venue_lng,venue_notes,venue_map_status,region,url,category
,2026-07-02,12:55 PM,Waterfront Blues Festival - 3-Day Pass,Tom McCall Waterfront Park,"1020 SW Naito Pkwy, Portland, OR 97204, United States",45.5149538,-122.6734462,,,portland-metro,https://allevents.in/portland/waterfront-blues-festival-3-day-pass-at-tom-mccall-waterfront-park/2400030145887124,Markets
,2026-07-02,2:00 AM,This Party Sucks I'll Be In The Car! with Maya Castleman (21+),Kilowatt Bar,"San Francisco, CA 94103, US, United States",37.7726402,-122.4099154,,,san-francisco,https://allevents.in/san-francisco/this-party-sucks-ill-be-in-the-car-with-maya-castleman-21/3200030225174053,Arts
,2026-07-02,4:00 PM,Elderbrook,Gold Bar Whiskey Distillery Tasting Room,"1 Avenue of the Palms #167, San Francisco, United States",37.8172234,-122.370686,,,san-francisco,https://allevents.in/san-francisco/elderbrook/2300030186115110,Food & Drink
,2026-07-02,4:00 PM,Jinjer,The Fillmore - San Francisco,"1805 Geary Blvd, San Francisco, United States",37.7840042,-122.4331332,,,san-francisco,https://allevents.in/san-francisco/jinjer/2300029862486800,Music
,2026-07-02,4:00 PM,Loofy,Sound Nightclub,"1642 Las Palmas Ave, Los Angeles, United States",34.1010021,-118.335803,,,los-angeles,https://allevents.in/los-angeles/loofy/2300030190135338,Music
,2026-07-02,4:00 PM,Agents of Time,Avalon - Hollywood,"1735 Vine Street, Los Angeles, United States",34.1027433,-118.3271497,,,los-angeles,https://allevents.in/los-angeles/agents-of-time/2300029906533349,Music
,2026-07-02,5:00 PM,July First Thursday: Game Night (Heated Rivalry Edition),Portland Center Stage at The Armory,"128 NW Eleventh Ave, Portland, OR 97209",45.5241717,-122.6818285,,,portland-metro,https://www.pcs.org/events/july-first-thursday-game-night-heated-rivalry-edition,Food & Drink
,2026-07-02,6:00 PM,After Dark: Starstruck,Pier 15 Embarcadero at Green St,"San Francisco, CA, United States, California 94111",37.79593620000001,-122.4000032,,,san-francisco,https://allevents.in/san-francisco/after-dark-starstruck/200030194955143,Arts
,2026-07-02,6:00 PM,The Last Angel of History,"Phyllis Wattis Theater, SFMOMA","151 Third St, San Francisco, CA 94103",37.7858686,-122.400667,,,san-francisco,https://www.sfmoma.org/event/the-last-angel-of-history/,Arts
,2026-07-02,6:00 PM,Ricardo Lemvo & Makina Loca,"Crepe Myrtle Garden, Yerba Buena Gardens","3rd St. between Mission and Howard Sts., San Francisco, CA",37.7817629,-122.4046217,,,san-francisco,https://ybgfestival.org/event/ricardo-lemvo-makina-loca-2026/,Music
,2026-07-02,6:00 PM,Art Space at Lower Polk-Presented by Lower Polk CBD,1170 Sutter St,"San Francisco, United States",37.7749295,-122.4194155,,,san-francisco,https://allevents.in/san-francisco/art-space-at-lower-polk-presented-by-lower-polk-cbd/100001991289278837,Arts
,2026-07-02,6:00 PM,Jinjer at The Wiltern,The Wiltern,"3790 Wilshire Blvd., Los Angeles, CA 90010, United States",34.0611387,-118.3084775,,,los-angeles,https://allevents.in/los-angeles/jinjer-at-the-wiltern/2400029854029347,Music
